date,maxtp,mintp,gmin,rain,cbl,wdsp,hm,ddhm,hg,sun,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd
1-Jan-80,4.6,-2.5,-6.2,0,1007.7,5.6,11,20,15,2.9,187,0.725,0.4,0.5,1.3,1.3,-6.6
2-Jan-80,6.1,-3.5,-9.9,2.7,1009.6,7.6,19,150,27,3,234,0.2,0.2,0.2,0,-1.2,-8.8
3-Jan-80,12,6.1,-9.5,4.6,995.6,13.8,23,220,35,0,68,3.6,0.5,0.6,0,-4.1,-10
4-Jan-80,8.5,4.2,1.2,0.5,988.7,15.1,22,230,34,5.4,269,3.9,0.5,0.6,0,0,-9.5
5-Jan-80,7.5,4.5,2.5,0,995,16.5,23,270,33,4,261,3.55,0.8,1,0.8,0.8,-8.2
6-Jan-80,6.7,1.4,1,0,1003.5,11.8,18,260,25,6.1,297,3.175,0.4,0.4,1.2,1.2,-7.5
7-Jan-80,6.7,-0.2,-6.3,0,1007.2,8,17,140,23,0.9,190,2.125,0.3,0.4,1.4,1.4,-6.8
8-Jan-80,6.7,4.8,-1.2,0,1007.9,14.1,23,150,38,0,72,3.625,0.9,1.1,2.3,2.3,-5.6
9-Jan-80,6,4.2,4.5,7.9,1007.3,14.3,26,150,40,0,37,4.25,0.8,1,0,-4.9,-10
10-Jan-80,5.6,1.4,-3,0.3,1018.1,4,8,250,12,2.5,257,3.6,0.1,0.2,0,-0.2,-9.7
11-Jan-80,6.7,0.5,-3.1,0.4,1027.1,6,9,230,14,0.1,101,3.2,0.2,0.3,0,-0.2,-9.4
12-Jan-80,4,-1.8,-4.5,0,1031.9,3.9,8,280,10,0.4,191,2.65,0.1,0.2,0.1,0.1,-8.9
13-Jan-80,5.7,-1,-2.8,0,1023.7,6.2,13,230,17,0,144,2.65,0.3,0.4,0.4,0.4,-8.1
14-Jan-80,5.4,1.6,-0.2,7.4,1011.5,13.7,24,20,35,1.9,203,3.925,0.5,0.7,0,-6.5,-10
15-Jan-80,5,1.6,-1,0.8,1011.5,13.6,21,40,28,0.3,90,3.025,1,1.3,0.2,0.2,-9.3
16-Jan-80,3.3,-0.4,-5,0,1014.3,6.9,9,350,12,0.1,148,1.5,0.4,0.6,0.6,0.6,-8.4
17-Jan-80,3.2,1.2,-0.1,0,1009.4,4,10,350,13,0,82,1.875,0.5,0.6,1.1,1.1,-7.5
18-Jan-80,4.7,2.7,0,0,997.7,10.1,20,150,28,0,109,2.375,0.8,1.1,1.9,1.9,-6.3
19-Jan-80,5.6,0.5,2.7,29.1,985.9,10.3,20,150,33,0,26,3.275,0.4,0.6,0,-10,-10
20-Jan-80,5.9,0.3,-1.7,2.2,983.8,11.3,26,140,45,6.8,392,2.325,0.4,0.4,0,-1.8,-10
21-Jan-80,6,2.2,-2.3,30.3,967.2,20.1,36,220,55,0,64,3.275,0.4,0.7,0,-10,-10
22-Jan-80,6,2.9,1.6,0,971.9,19.7,27,260,38,1.6,229,3.35,0.7,1,0.7,0.7,-8.8
23-Jan-80,6.3,0.9,0.1,0,980.3,11.3,16,230,26,3.4,323,3.45,0.4,0.5,1.1,1.1,-8
24-Jan-80,6.5,-0.3,-3.8,0,993.8,9.5,13,250,19,6.9,446,2.025,0.3,0.4,1.4,1.4,-7.3
25-Jan-80,6.4,0.4,-2.9,0,1008.1,7.3,11,250,17,6.7,418,1.65,0.3,0.4,1.7,1.7,-6.6
26-Jan-80,6,1.8,-7,0,1017.2,8.3,16,90,21,5.7,404,1.625,0.5,0.7,2.2,2.2,-5.7
27-Jan-80,6.2,1.6,-3.1,2,1013.8,13.5,23,160,39,0.3,233,2.15,0.6,0.8,0.8,0.8,-6.9
28-Jan-80,11.1,6.2,2.5,1.4,1005.7,10.1,16,170,27,0.1,229,5.75,0.6,0.7,0,0,-7.3
29-Jan-80,10.6,6.1,2.9,1.1,997.8,8.2,16,240,25,0.5,106,5.775,0.6,0.8,0,-0.5,-7.5
30-Jan-80,9.2,5.7,3,2.4,983.6,13.7,23,240,35,5.2,461,4.95,0.8,1,0,-1.6,-8.7
31-Jan-80,6.2,0.7,1.6,22.1,981,18.1,29,50,41,0,81,3.95,0.7,1,0,-10,-10
1-Feb-80,5.1,-1.2,-3.3,4.2,993,8,18,140,31,4.1,478,2.425,0.3,0.5,0,-3.9,-10
2-Feb-80,7.8,4.4,-2.5,2.2,988.3,14,32,250,43,0.8,200,3.9,0.5,0.8,0,-1.7,-10
3-Feb-80,6.1,2.5,0.5,6.1,990.2,7.6,24,280,34,0,84,3.75,0.4,0.5,0,-5.7,-10
4-Feb-80,9.6,3,2.4,10.1,983.8,13.5,24,150,35,0.5,119,4.625,0.6,0.9,0,-9.5,-10
5-Feb-80,10,2.9,2.9,5.5,983.6,14.2,22,270,35,0.4,245,6.125,0.5,0.8,0,-5,-10
6-Feb-80,5.6,0.2,-2.4,12.8,994.2,5.9,10,40,14,0,124,3.7,0.4,0.5,0,-10,-10
7-Feb-80,8.4,1.1,-2,4.8,995,9.8,20,130,31,0,90,4.075,0.4,0.5,0,-4.4,-10
8-Feb-80,11,7.6,0.4,0,991.5,7.4,12,200,17,2.4,378,6.275,0.5,0.7,0.5,0.5,-9
9-Feb-80,8.2,4.2,3.5,4.9,991.3,5.7,15,300,23,0,137,6.5,0.2,0.4,0,-4.1,-10
10-Feb-80,10.4,3.5,0.3,0,1003.8,12.5,21,250,31,7.1,625,5.05,0.8,1.1,0.8,0.8,-8.7
11-Feb-80,11.2,6.4,2.1,1.8,1010.7,8.9,14,210,22,2.4,508,6.25,0.8,1.1,0,-0.2,-9.2
12-Feb-80,10.5,7.9,4.6,1.6,1006.3,9.1,15,190,24,0,59,7.2,0.8,1,0,-0.8,-9.6
13-Feb-80,9.6,6.8,4.5,1,1004.7,4.8,9,240,12,0.3,324,7.275,0.4,0.6,0,-0.6,-9.6
14-Feb-80,11.7,6.6,3.3,0.5,1000.2,10.5,22,200,34,0,109,6.975,0.9,1.1,0.4,0.4,-8.8
15-Feb-80,9.3,2.3,0,0,1001.4,8.8,16,130,23,5.3,710,6.325,0.4,0.6,0.7,0.7,-8
16-Feb-80,12.3,6.9,4.6,3.6,1003.3,10.5,18,210,27,4.8,638,7.5,1.1,1.4,0,-1.8,-10
17-Feb-80,12.6,5.9,0.5,0,1006.8,11.2,20,200,33,5.6,596,7.4,1,1.3,1,1,-8.5
18-Feb-80,9.5,4.7,5.2,6.4,1002.1,10.9,19,160,29,0,106,7.3,0.5,0.7,0,-4.9,-10
19-Feb-80,6.9,3.6,0.5,0.9,1002.6,7,12,10,19,0,202,6.05,0.4,0.6,0,-0.5,-10
20-Feb-80,7.7,6,5.2,1.5,998.5,5.8,13,140,21,0,67,6.575,0.4,0.6,0,-1.1,-10
21-Feb-80,8.5,3.6,-1.3,0.4,997,11.8,24,150,39,0,276,5.65,0.8,1.1,0.4,0.4,-9.1
22-Feb-80,8.4,3.5,-1.7,0.1,1005.2,10.6,17,320,25,0.5,509,5.375,0.8,1.2,1.1,1.1,-7.9
23-Feb-80,10,-0.1,-1.9,0,1016.9,7.2,12,300,16,9.2,934,4.9,0.9,1.2,2,2,-6.7
24-Feb-80,9,0.3,-4,0,1017.8,3.2,7,150,9,4.3,666,5.075,0.6,0.9,2.5,2.5,-5.8
25-Feb-80,8.3,1.4,-3.2,0,1016.6,7.7,13,30,18,0.8,420,5.5,0.5,0.7,3,3,-5
26-Feb-80,9.4,1.1,-3.8,0.1,1021.6,6.1,9,300,12,1.7,540,5.475,0.7,1,3.6,3.6,-4.1
27-Feb-80,6.8,2.9,-3.4,0,1026.1,3,7,300,10,0,226,5.125,0.5,0.7,4.1,4.1,-3.4
28-Feb-80,11.2,2.6,-3.8,0,1026.5,8.8,14,250,19,0,432,5.5,0.7,1,4.8,4.8,-2.5
29-Feb-80,8.6,7,5.5,0,1023,6,10,300,15,0,301,6.825,0.8,1,5.5,5.5,-1.6
1-Mar-80,9,6.2,4.4,0,1018.3,6.2,11,350,14,2.2,577,7.1,0.8,1.1,6.3,6.3,-0.7
2-Mar-80,11,1.6,4.1,0,1014.7,7.3,13,340,17,1.4,526,6.5,0.8,1.2,7.1,7.1,0.2
3-Mar-80,7.8,-0.8,-4.9,0,1013.6,6.1,11,140,15,3.6,687,5.2,0.8,1.1,7.8,7.8,1
4-Mar-80,9.3,2.2,-2.7,0,1005.8,7.5,18,200,28,1.3,330,5.5,0.9,1.2,8.7,8.7,1.8
5-Mar-80,10.5,5.5,4.5,2.2,991.2,10,20,160,30,2,547,6.575,1,1.4,7.4,7.4,0.6
6-Mar-80,11.8,4.1,2.5,1.6,974.8,12.8,27,250,39,1.1,472,7.1,0.9,1.3,6.6,6.6,-0.1
7-Mar-80,9.3,3.8,1.9,2.2,973.7,12.5,18,310,29,4.5,781,6.625,1.1,1.6,5.4,5.4,-1.2
8-Mar-80,8.8,4.3,0.3,0.7,994.7,13,19,310,28,3.3,631,6.375,1,1.5,5.6,5.6,-0.9
9-Mar-80,9.8,2.2,0.1,2.9,1005.3,9.4,17,270,21,6.1,896,6.225,1.2,1.8,3.9,3.9,-2.5
10-Mar-80,9.5,2.2,2.2,1.2,1001.5,14.7,27,280,40,6.2,998,6.6,1.2,1.9,3.8,3.8,-2.4
11-Mar-80,11.5,5.5,1.1,2.2,1004.5,13.3,20,230,31,0,331,7.5,0.9,1.3,2.5,2.5,-3.5
12-Mar-80,11,0.6,5.7,2.5,997.9,10.5,19,300,28,4.2,889,8.35,0.8,1.3,0.8,0.8,-5.1
13-Mar-80,7.4,-0.7,-2.1,1.3,1002.7,11.5,20,320,26,8.2,1235,6.025,1.1,1.8,0.6,0.6,-5
14-Mar-80,8.3,0.1,-1,0.5,1010.8,6.2,11,280,15,9.2,1207,5.5,1.1,1.6,1.1,1.1,-4.2
